Date,Russian_Possession,Ukrainian_Possession
Jan-22,7.0,93.0
Feb-22,7.0,93.0
Mar-22,22.0,78.0
Apr-22,21.0,79.0
May-22,20.0,80.0
Jun-22,20.0,80.0
Jul-22,20.0,80.0
Aug-22,19.5,80.5
Sep-22,19.0,81.0
Oct-22,18.5,81.5
Nov-22,18.0,82.0
Dec-22,18.0,82.0
Jan-23,18.0,82.0
Feb-23,18.0,82.0
Mar-23,18.0,82.0
Apr-23,18.0,82.0
May-23,18.0,82.0
Jun-23,18.0,82.0
Jul-23,18.0,82.0
Aug-23,18.0,82.0
Sep-23,18.0,82.0
Oct-23,18.0,82.0
Nov-23,18.0,82.0
Dec-23,18.0,82.0
Jan-24,18.0,82.0
Feb-24,18.0,82.0
Mar-24,18.0,82.0
Apr-24,18.0,82.0
May-24,18.0,82.0
Jun-24,18.0,82.0
Jul-24,18.0,82.0
Aug-24,18.0,82.0
Sep-24,18.0,82.0
Oct-24,18.0,82.0
Nov-24,18.5,81.5
Dec-24,18.5,81.5
