date,killed total,killed female,killed male,killed undefined,injured,displaced,damaged housing units,,
7-Oct-2023,275,6,269,0,,,,,
8-Oct-2023,451,64,387,0,,,,,
9-Oct-2023,681,145,536,0,,,,,
10-Oct-2023,927,234,693,0,,,,,
11-Oct-2023,1206,355,851,0,,,,,
12-Oct-2023,1605,506,1064,35,,,,,
13-Oct-2023,1929,636,1248,45,,,,,
14-Oct-2023,2288,792,1451,45,,,,,
15-Oct-2023,2558,924,1589,45,,,,,
16-Oct-2023,2813,1052,1716,45,,,,,
17-Oct-2023,3416,1239,1945,232,,,,,
18-Oct-2023,3854,1429,2193,232,,,,,
19-Oct-2023,4273,1626,2415,232,,,,,
20-Oct-2023,4584,1780,2572,232,,,,,
21-Oct-2023,4921,1934,2755,232,,,,,
22-Oct-2023,5338,2135,2971,232,,,,,
23-Oct-2023,5852,2364,3256,232,,1500000,,,
24-Oct-2023,6547,2626,3578,343,,1500000,,,
25-Oct-2023,7028,2852,3802,374,,1500000,,,
26-Oct-2023,7331,2992,3965,374,,1500000,,,
27-Oct-2023,7715,3175,4166,374,,1500000,,,
28-Oct-2023,8022,3338,4310,374,,1500000,,,
29-Oct-2023,8324,3471,4479,374,,1500000,,,
30-Oct-2023,8548,3565,4609,374,,1500000,,,
31-Oct-2023,8832,3687,4771,374,,1500000,,8832.00,
1-Nov-2023,9085,3809,4902,374,,1500000,,,
2-Nov-2023,9279,3893,5012,374,,1500000,,,
3-Nov-2023,9489,3946,5060,483,,1500000,,,
4-Nov-2023,9771,3997,5106,668,,1500000,,,
5-Nov-2023,10024,4051,5164,809,,1500000,,,
6-Nov-2023,10330,4132,5237,961,,1500000,,,
7-Nov-2023,10576,4202,5324,1050,,1500000,,,
8-Nov-2023,10825,4224,5345,1256,,1500000,,,
9-Nov-2023,11085,4286,5404,1395,,1500000,,,
10-Nov-2023,11131,4298,5438,1395,,1500000,,,
11-Nov-2023,11189,4322,5472,1395,,1500000,,,
12-Nov-2023,11269,4361,5513,1395,,1500000,,,
13-Nov-2023,11309,4378,5536,1395,,1500000,,,
14-Nov-2023,11381,4410,5576,1395,,1650000,,,
15-Nov-2023,11507,4439,5605,1463,,1650000,,,
16-Nov-2023,11572,4466,5643,1463,,1650000,,,
17-Nov-2023,12007,4511,5684,1812,,1650000,,,
18-Nov-2023,12307,4567,5755,1985,,1650000,,,
19-Nov-2023,13007,4619,5801,2587,,1650000,,,
