STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,siec,Standard international energy product classification (SIEC),partner,Geopolitical entity (partner),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_TI_GAS(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,AD,Andorra,MIO_M3,Million cubic metres,EU27_2020,European Union - 27 countries (from 2020),2019,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,AD,Andorra,MIO_M3,Million cubic metres,EU27_2020,European Union - 27 countries (from 2020),2020,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,AD,Andorra,MIO_M3,Million cubic metres,EU27_2020,European Union - 27 countries (from 2020),2021,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,AD,Andorra,MIO_M3,Million cubic metres,EU27_2020,European Union - 27 countries (from 2020),2022,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,AD,Andorra,MIO_M3,Million cubic metres,EU27_2020,European Union - 27 countries (from 2020),2023,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,AE,United Arab Emirates,MIO_M3,Million cubic metres,EU27_2020,European Union - 27 countries (from 2020),2019,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,AE,United Arab Emirates,MIO_M3,Million cubic metres,EU27_2020,European Union - 27 countries (from 2020),2020,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,AE,United Arab Emirates,MIO_M3,Million cubic metres,EU27_2020,European Union - 27 countries (from 2020),2021,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,AE,United Arab Emirates,MIO_M3,Million cubic metres,EU27_2020,European Union - 27 countries (from 2020),2022,,91.338,,,,,
dataflow,ESTAT:NRG_TI_GAS(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,AE,United Arab Emirates,MIO_M3,Million cubic metres,EU27_2020,European Union - 27 countries (from 2020),2023,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,AFR_OTH,Other African countries (aggregate changing according to the context),MIO_M3,Million cubic metres,EU27_2020,European Union - 27 countries (from 2020),2019,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,AFR_OTH,Other African countries (aggregate changing according to the context),MIO_M3,Million cubic metres,EU27_2020,European Union - 27 countries (from 2020),2020,,94.425,,,,,
